if_stolen,if_dark_colour,cost_of_bike,if_near_city_center,location_type,if_popular_type,bike_type
0,0,1600,1,residential,0,0
0,0,650,1,residential,0,0
0,1,300,0,residential,1,1
0,1,700,1,residential,1,1
0,0,120,0,residential,1,1
0,0,900,1,social,0,0
0,1,800,1,social,1,1
0,0,200,1,residential,1,1
0,1,1500,1,residential,1,1
0,1,1500,1,residential,1,1
0,0,450,1,residential,1,1
0,0,400,0,educational,0,0
1,1,1000,0,residential,1,1
0,1,760,1,residential,1,1
0,1,400,1,residential,1,1
0,0,500,1,residential,0,0
0,0,200,1,social,1,1
0,1,859,1,residential,1,1
0,1,579,1,residential,1,1
0,1,20,0,social,1,1
0,1,700,1,residential,0,0
1,1,1800,0,residential,1,1
1,0,800,0,residential,1,1
0,1,189,0,residential,1,1
0,1,675,1,social,1,1
0,1,262,1,residential,1,1
1,1,632,1,residential,1,1
0,1,650,1,social,0,0
0,1,700,1,social,1,1
0,1,1700,1,social,1,1
0,1,600,1,social,0,0
0,1,600,1,residential,1,1
0,1,1478,1,social,0,0
0,1,1000,1,social,1,1
0,1,200,0,educational,1,1
0,1,1000,1,social,0,0
0,1,1300,1,social,1,1
1,1,2000,1,residential,1,1
1,0,600,1,residential,1,1
0,0,600,1,social,1,1
0,0,299,1,social,0,0
0,0,2700,1,residential,0,0
0,0,800,1,social,1,1
0,1,900,1,social,1,1
0,0,588,1,residential,1,1
0,0,500,1,social,1,1
0,0,1000,1,social,1,1
0,1,600,1,social,1,1
0,0,600,1,social,1,1
0,0,550,1,social,1,1
0,0,1000,1,residential,0,0
0,1,630,1,residential,0,0
0,1,200,1,social,1,1
0,0,850,0,residential,0,0
0,1,450,1,social,1,1
0,0,3000,1,residential,0,0
0,0,100,1,social,1,1
0,0,300,0,residential,1,1
0,0,1700,1,residential,1,1
0,1,230,1,social,1,1
0,1,900,1,social,1,1
0,1,250,1,social,0,0
0,1,300,0,residential,0,0
0,0,900,1,residential,1,1
0,1,400,1,residential,1,1
0,1,900,1,social,0,0
1,1,300,1,residential,0,0
0,0,1100,1,social,0,0
0,0,400,1,residential,0,0
0,1,300,0,social,1,1
0,0,240,0,residential,1,1
0,0,450,1,social,1,1
0,1,1300,1,residential,1,1
0,0,500,1,residential,1,1
0,1,400,1,residential,1,1
0,0,600,1,social,1,1
1,1,6789,1,residential,1,1
0,0,500,1,residential,0,0
0,0,200,1,social,0,0
0,0,1300,1,social,0,0
0,0,300,1,residential,0,0
0,1,630,1,residential,0,0
0,1,350,1,residential,1,1
0,0,10,1,residential,1,1
0,0,960,1,social,0,0
0,1,500,1,residential,1,1
0,0,870,1,social,0,0
0,0,4319,1,residential,1,1
